"No.","Time","Source","Destination","Protocol","Length","Channel","PHY type","MAC timestamp","Channel flags","Data rate","Orthogonal Frequency-Division Multiplexing (OFDM)","Gaussian Frequency Shift Keying (GFSK)","Complementary Code Keying (CCK)","Dynamic CCK-OFDM","MCS index","Info"
"42","1.391337","D-LinkIn_fd:0a:18","Broadcast","802.11","311","1","802.11b","175828116354","0x00a0","1","False","False","True","False","","Beacon frame, SN=2811, FN=0, Flags=........C, BI=100, SSID=dlinkaga"
"43","1.433624","D-LinkIn_43:72:64","Broadcast","802.11","323","1","802.11b","175828158556","0x00a0","1","False","False","True","False","","Beacon frame, SN=3989, FN=0, Flags=........C, BI=100, SSID=Bas Segaar 2.4GHz"
"44","1.447962","Netgear_13:e0:88","Broadcast","802.11","313","1","802.11b","175828172998","0x00a0","1","False","False","True","False","","Beacon frame, SN=3803, FN=0, Flags=........C, BI=100, SSID=Himanshu"
"45","1.493732","D-LinkIn_fd:0a:18","Broadcast","802.11","311","1","802.11b","175828218755","0x00a0","1","False","False","True","False","","Beacon frame, SN=2812, FN=0, Flags=........C, BI=100, SSID=dlinkaga"
"46","1.535995","D-LinkIn_43:72:64","Broadcast","802.11","323","1","802.11b","175828260948","0x00a0","1","False","False","True","False","","Beacon frame, SN=3990, FN=0, Flags=........C, BI=100, SSID=Bas Segaar 2.4GHz"
"47","1.550400","Netgear_13:e0:88","Broadcast","802.11","313","1","802.11b","175828275392","0x00a0","1","False","False","True","False","","Beacon frame, SN=3804, FN=0, Flags=........C, BI=100, SSID=Himanshu"
"48","1.596121","D-LinkIn_fd:0a:18","Broadcast","802.11","311","1","802.11b","175828321157","0x00a0","1","False","False","True","False","","Beacon frame, SN=2813, FN=0, Flags=........C, BI=100, SSID=dlinkaga"
"49","1.638417","D-LinkIn_43:72:64","Broadcast","802.11","323","1","802.11b","175828363346","0x00a0","1","False","False","True","False","","Beacon frame, SN=3991, FN=0, Flags=........C, BI=100, SSID=Bas Segaar 2.4GHz"
"50","1.652796","Netgear_13:e0:88","Broadcast","802.11","313","1","802.11b","175828377806","0x00a0","1","False","False","True","False","","Beacon frame, SN=3805, FN=0, Flags=........C, BI=100, SSID=Himanshu"
"51","1.698540","D-LinkIn_fd:0a:18","Broadcast","802.11","311","1","802.11b","175828423559","0x00a0","1","False","False","True","False","","Beacon frame, SN=2814, FN=0, Flags=........C, BI=100, SSID=dlinkaga"
"52","1.740823","D-LinkIn_43:72:64","Broadcast","802.11","323","1","802.11b","175828465759","0x00a0","1","False","False","True","False","","Beacon frame, SN=3992, FN=0, Flags=........C, BI=100, SSID=Bas Segaar 2.4GHz"
